"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
47,"T0","0.000000",3,1,0,0,2,0,1
48,"T0","0.000000",3,2,0,0,3,0,3
49,"T1","1.000000",2,3,2.828,1.172,3.172,3.172,1.828
50,"T1","1.000000",3,1,0,0.172,1.172,2.172,0.828
51,"T0","0.000000",1,3,3,4,1,2,4
52,"T2","1.000000",2,3,3.624,1.376,1.376,3.376,1.624
53,"T2","1.000000",2,1,0.624,0,4,0.376,2.624
54,"T0","0.000000",1,2,2,2,3,1,3
55,"T2","1.000000",3,1,0,1.376,1.376,3.376,0
56,"T0","0.000000",3,3,0,0,2,2,2
57,"T2","1.000000",1,1,1.624,3.376,3.376,4,1.624
58,"T2","1.000000",2,1,2.624,1.376,0.376,2.376,2.624
59,"T0","0.000000",2,2,0,4,4,1,0
60,"T2","1.000000",1,1,2.624,4,4,3.376,0.624
61,"T1","1.000000",1,1,0.828,3.172,1.172,1.172,4
62,"T1","1.000000",3,3,1.828,4,0,0,0
63,"T1","1.000000",2,2,0.828,1.172,4,3.172,0.828
64,"T2","1.000000",2,3,4,4,4,0.376,0.624
65,"T1","1.000000",1,1,2.828,3.172,3.172,1.172,3.828
66,"T2","1.000000",3,2,2.624,3.376,0.376,1.376,1.624
67,"T2","1.000000",2,1,2.624,3.376,4,3.376,1.624
68,"T1","1.000000",1,3,1.828,3.172,3.172,4,3.828
69,"T1","1.000000",1,2,0.828,2.172,3.172,4,1.828
70,"T1","1.000000",1,2,1.828,4,4,2.172,3.828
71,"T1","1.000000",3,2,2.828,0,0,0.172,0.828
72,"T1","1.000000",2,3,0.828,4,1.172,3.172,1.828
73,"T0","0.000000",3,3,3,3,0,0,0
74,"T1","1.000000",1,3,4,2.172,2.172,3.172,0.828
75,"T1","1.000000",3,3,2.828,1.172,2.172,0,0.828
76,"T0","0.000000",2,2,3,4,1,2,4
77,"T0","0.000000",2,1,3,1,2,4,1
78,"T0","0.000000",3,3,2,0,0,1,1
79,"T2","1.000000",2,1,0,0.376,3.376,4,3.624
80,"T2","1.000000",3,3,0,0.376,2.376,2.376,1.624
81,"T2","1.000000",3,1,0,2.376,0,1.376,1.624
82,"T1","1.000000",3,2,1.828,2.172,0,0,0
83,"T0","0.000000",2,3,3,3,3,0,2
84,"T2","1.000000",3,2,0,2.376,0.376,0,2.624
85,"T1","1.000000",3,1,0,1.172,2.172,1.172,2.828
86,"T0","0.000000",3,3,0,3,0,0,0
87,"T2","1.000000",3,3,0,4,2.376,2.376,1.624
88,"T1","1.000000",1,2,2.828,1.172,3.172,3.172,1.828
89,"T2","1.000000",2,1,2.624,0,4,1.376,3.624
90,"T1","1.000000",1,3,2.828,4,4,1.172,0.828
91,"T2","1.000000",1,1,2.624,0.376,4,4,1.624
92,"T0","0.000000",1,1,0,2,4,4,2
93,"T1","1.000000",2,3,3.828,3.172,0.172,0.172,3.828
94,"T0","0.000000",3,3,2,1,1,1,2
95,"T1","1.000000",2,3,1.828,1.172,1.172,4,2.828
96,"T2","1.000000",2,2,0.624,2.376,3.376,1.376,1.624
97,"T0","0.000000",1,2,3,4,2,2,4
98,"T2","1.000000",2,2,1.624,3.376,3.376,2.376,3.624
99,"T0","0.000000",3,1,0,2,2,1,0
100,"T1","1.000000",1,2,0.828,3.172,2.172,4,1.828
101,"T0","0.000000",3,3,3,2,2,1,0
102,"T0","0.000000",1,1,4,2,2,2,3
103,"T2","1.000000",3,3,0,2.376,1.376,0,0.624
104,"T1","1.000000",2,1,0,2.172,1.172,3.172,2.828
105,"T0","0.000000",3,2,3,3,0,3,1
106,"T1","1.000000",2,2,1.828,1.172,4,4,3.828
107,"T0","0.000000",2,2,2,2,1,4,2
108,"T0","0.000000",1,3,2,2,3,4,4
109,"T1","1.000000",3,2,0,1.172,0.172,2.172,0
110,"T1","1.000000",1,1,1.828,4,4,4,1.828
111,"T2","1.000000",1,2,3.624,4,4,3.376,1.624
112,"T0","0.000000",1,2,3,4,3,4,4
113,"T0","0.000000",2,1,1,0,4,2,1
114,"T2","1.000000",2,1,1.624,3.376,4,4,3.624
115,"T2","1.000000",1,3,4,4,4,1.376,1.624
116,"T2","1.000000",3,2,1.624,0,2.376,1.376,1.624
117,"T1","1.000000",1,2,3.828,1.172,2.172,1.172,3.828
118,"T2","1.000000",1,1,0.624,4,4,4,3.624
119,"T0","0.000000",2,2,1,1,2,4,3
120,"T1","1.000000",1,2,0.828,4,4,1.172,3.828
121,"T1","1.000000",3,3,0,3.172,2.172,0,0.828
122,"T0","0.000000",1,1,3,3,3,3,2
123,"T0","0.000000",1,2,4,4,3,4,3
124,"T1","1.000000",3,2,1.828,0,2.172,1.172,2.828
125,"T2","1.000000",2,2,1.624,0.376,3.376,3.376,3.624
126,"T1","1.000000",2,1,0,0.172,1.172,0.172,1.828
127,"T0","0.000000",1,2,1,3,1,3,4
128,"T0","0.000000",2,1,0,1,2,4,0
129,"T0","0.000000",2,3,4,1,2,3,3
130,"T2","1.000000",1,1,1.624,1.376,1.376,2.376,4
131,"T0","0.000000",3,3,3,2,0,1,0
132,"T0","0.000000",2,3,4,2,1,2,4
133,"T1","1.000000",1,3,2.828,4,4,3.172,4
134,"T2","1.000000",2,2,0.624,4,1.376,1.376,2.624
135,"T1","1.000000",3,2,0.828,0,2.172,3.172,0
136,"T2","1.000000",3,3,0,3.376,3.376,0.376,0.624
137,"T2","1.000000",3,3,1.624,0.376,2.376,3.376,0
138,"T1","1.000000",1,1,0.828,4,4,1.172,2.828
139,"T1","1.000000",1,1,0,1.172,1.172,1.172,1.828
140,"T1","1.000000",3,2,0,0.172,1.172,2.172,1.828
141,"T2","1.000000",1,2,2.624,2.376,4,4,2.624
142,"T1","1.000000",1,2,3.828,4,2.172,1.172,2.828
143,"T2","1.000000",2,2,2.624,4,1.376,2.376,3.624
144,"T2","1.000000",2,1,2.624,3.376,3.376,3.376,3.624
145,"T2","1.000000",2,3,3.624,1.376,3.376,0.376,1.624
146,"T2","1.000000",3,1,0,1.376,0.376,1.376,0
147,"T0","0.000000",3,3,3,0,2,3,0
148,"T2","1.000000",1,2,2.624,2.376,4,2.376,2.624
149,"T0","0.000000",1,1,0,4,1,4,4
150,"T2","1.000000",2,2,1.624,0.376,1.376,2.376,1.624
151,"T0","0.000000",3,1,1,0,2,0,1
152,"T2","1.000000",3,3,1.624,4,2.376,1.376,0
153,"T2","1.000000",2,3,4,1.376,3.376,2.376,2.624
154,"T2","1.000000",2,2,2.624,0.376,1.376,3.376,0.624
155,"T0","0.000000",3,2,2,0,0,0,2
156,"T1","1.000000",2,1,1.828,0,1.172,0.172,0
157,"T2","1.000000",1,3,3.624,2.376,2.376,4,2.624
158,"T1","1.000000",3,1,0,1.172,1.172,1.172,1.828
159,"T0","0.000000",1,2,2,4,4,4,2
160,"T1","1.000000",2,1,1.828,0.172,1.172,0.172,0
161,"T1","1.000000",3,1,0,1.172,0,0,0
162,"T1","1.000000",1,3,3.828,3.172,2.172,4,4
163,"T0","0.000000",2,3,3,3,1,2,4
164,"T1","1.000000",2,1,2.828,3.172,2.172,3.172,0.828
165,"T2","1.000000",3,2,0,1.376,1.376,1.376,1.624
166,"T2","1.000000",1,3,4,4,4,4,3.624
167,"T1","1.000000",3,2,0.828,3.172,0.172,1.172,0
168,"T2","1.000000",2,3,4,3.376,4,4,0
169,"T0","0.000000",2,2,0,2,0,2,4
170,"T1","1.000000",3,1,0,0,3.172,1.172,2.828
171,"T0","0.000000",3,3,2,3,3,2,0
172,"T2","1.000000",1,1,0.624,2.376,1.376,3.376,0.624
173,"T0","0.000000",3,3,2,3,2,2,1
174,"T2","1.000000",3,2,0,2.376,3.376,2.376,0
175,"T1","1.000000",2,3,1.828,3.172,3.172,4,3.828
176,"T1","1.000000",1,2,0.828,4,3.172,1.172,4
177,"T1","1.000000",2,3,1.828,3.172,3.172,4,2.828
178,"T0","0.000000",2,3,2,3,1,1,2
179,"T2","1.000000",3,3,0.624,4,1.376,3.376,0.624
180,"T0","0.000000",3,1,1,0,3,3,3
181,"T1","1.000000",1,2,4,2.172,4,1.172,4
182,"T1","1.000000",3,3,2.828,4,1.172,3.172,1.828
183,"T1","1.000000",2,2,3.828,0.172,0.172,1.172,0
184,"T0","0.000000",1,1,2,0,3,2,4
185,"T1","1.000000",3,2,1.828,3.172,3.172,1.172,2.828
186,"T1","1.000000",1,3,2.828,3.172,4,2.172,2.828
187,"T1","1.000000",3,1,0,1.172,1.172,0.172,2.828
188,"T0","0.000000",3,3,1,4,0,0,3
189,"T0","0.000000",2,2,2,1,4,3,0
190,"T2","1.000000",2,1,2.624,3.376,3.376,0.376,0.624
191,"T2","1.000000",2,1,2.624,0,0.376,2.376,3.624
192,"T2","1.000000",3,1,0,2.376,0.376,2.376,0
193,"T2","1.000000",2,1,0.624,0.376,1.376,4,2.624
194,"T1","1.000000",3,3,1.828,1.172,3.172,3.172,0
195,"T1","1.000000",2,2,1.828,3.172,2.172,2.172,1.828
196,"T2","1.000000",2,1,0.624,0.376,4,2.376,0.624
197,"T2","1.000000",3,1,0,0.376,0,0,0
198,"T1","1.000000",3,3,0,0.172,2.172,3.172,2.828
199,"T0","0.000000",2,1,2,2,3,4,4
200,"T1","1.000000",1,3,4,3.172,4,4,1.828
201,"T0","0.000000",3,2,2,2,3,0,3
202,"T2","1.000000",2,2,3.624,3.376,0.376,4,2.624
203,"T0","0.000000",1,2,4,4,3,3,3
204,"T1","1.000000",2,2,3.828,3.172,2.172,2.172,1.828
205,"T0","0.000000",2,2,0,2,2,0,0
206,"T1","1.000000",2,3,4,1.172,4,2.172,0.828
207,"T0","0.000000",2,2,3,0,4,1,1
208,"T2","1.000000",3,2,0.624,0,0.376,2.376,0.624
209,"T0","0.000000",3,3,3,0,1,2,0
210,"T0","0.000000",1,2,3,4,4,2,4
211,"T1","1.000000",2,1,2.828,2.172,0.172,1.172,2.828
212,"T0","0.000000",3,3,2,2,0,0,1
213,"T2","1.000000",3,2,2.624,0,0.376,1.376,0
214,"T2","1.000000",1,3,3.624,4,2.376,4,4
215,"T1","1.000000",2,3,4,1.172,4,4,1.828
216,"T0","0.000000",2,1,0,2,0,1,4
217,"T2","1.000000",3,2,2.624,1.376,2.376,3.376,2.624
218,"T0","0.000000",1,3,4,4,2,2,1
219,"T0","0.000000",3,2,1,3,3,0,2
220,"T1","1.000000",2,2,2.828,0.172,0.172,2.172,1.828
221,"T0","0.000000",3,3,1,0,2,0,2
222,"T2","1.000000",2,2,2.624,4,1.376,3.376,0
223,"T1","1.000000",1,1,1.828,1.172,1.172,2.172,4
224,"T1","1.000000",3,3,0,0.172,3.172,0.172,0
225,"T1","1.000000",1,3,4,2.172,1.172,4,2.828
226,"T1","1.000000",2,1,0,3.172,2.172,1.172,0.828
227,"T0","0.000000",3,2,1,0,2,0,3
228,"T1","1.000000",1,3,4,4,4,2.172,2.828
229,"T1","1.000000",2,1,1.828,1.172,1.172,1.172,3.828
230,"T0","0.000000",3,1,1,2,3,0,1
231,"T1","1.000000",3,3,1.828,1.172,1.172,0.172,1.828
232,"T0","0.000000",2,2,4,2,0,1,0
233,"T1","1.000000",2,2,3.828,1.172,3.172,2.172,0
234,"T1","1.000000",3,3,1.828,2.172,3.172,0.172,2.828
235,"T2","1.000000",1,3,2.624,3.376,3.376,4,1.624
236,"T0","0.000000",3,1,1,0,1,1,1
237,"T1","1.000000",2,2,3.828,1.172,0.172,3.172,1.828
238,"T2","1.000000",3,1,0,0.376,2.376,1.376,0.624
239,"T0","0.000000",3,3,4,0,1,0,0
240,"T0","0.000000",2,2,2,3,2,3,3
241,"T1","1.000000",2,1,1.828,2.172,0.172,0.172,0
242,"T2","1.000000",2,2,2.624,4,2.376,3.376,2.624
243,"T0","0.000000",1,3,4,4,3,4,2
244,"T0","0.000000",3,3,2,1,3,0,2
245,"T2","1.000000",3,1,1.624,0,0,3.376,0.624
246,"T1","1.000000",2,1,2.828,0.172,1.172,3.172,3.828
247,"T1","1.000000",1,3,4,4,1.172,4,1.828
248,"T2","1.000000",2,3,1.624,4,0.376,0.376,2.624
249,"T1","1.000000",2,1,2.828,3.172,1.172,4,3.828
250,"T1","1.000000",3,1,0,2.172,2.172,1.172,0
251,"T2","1.000000",3,2,1.624,3.376,1.376,2.376,0
252,"T0","0.000000",2,2,2,2,2,1,1
253,"T1","1.000000",3,2,0,0.172,1.172,1.172,1.828
254,"T1","1.000000",3,3,1.828,1.172,2.172,0.172,1.828
255,"T2","1.000000",1,3,2.624,3.376,4,1.376,3.624
256,"T0","0.000000",2,1,2,0,3,3,2
257,"T0","0.000000",2,3,2,4,2,3,2
258,"T0","0.000000",2,1,1,2,0,0,2
259,"T0","0.000000",3,1,0,0,1,3,1
260,"T2","1.000000",3,2,1.624,0.376,3.376,1.376,0
261,"T2","1.000000",1,1,0,2.376,2.376,4,3.624
262,"T0","0.000000",2,3,1,4,0,2,4
263,"T2","1.000000",2,3,2.624,4,3.376,0.376,0.624
264,"T2","1.000000",3,3,0,1.376,0.376,0,0.624
265,"T1","1.000000",3,1,0,0,2.172,2.172,0
266,"T2","1.000000",3,1,0.624,2.376,2.376,0.376,1.624
267,"T2","1.000000",1,3,4,4,2.376,4,2.624
268,"T1","1.000000",2,2,0,3.172,3.172,3.172,0
269,"T2","1.000000",1,2,2.624,2.376,4,3.376,0.624
270,"T0","0.000000",1,3,4,4,1,3,2
271,"T2","1.000000",1,2,1.624,4,1.376,4,1.624
272,"T1","1.000000",1,3,4,2.172,1.172,3.172,1.828
273,"T0","0.000000",2,2,0,2,3,0,0
274,"T1","1.000000",1,1,0.828,4,4,1.172,2.828
275,"T0","0.000000",3,3,2,2,0,3,2
276,"T1","1.000000",3,2,2.828,0.172,1.172,0,1.828
277,"T1","1.000000",1,2,1.828,1.172,1.172,4,2.828
278,"T2","1.000000",1,2,1.624,4,1.376,4,3.624
279,"T0","0.000000",2,3,4,1,3,4,4
280,"T2","1.000000",2,3,1.624,1.376,1.376,1.376,1.624
281,"T2","1.000000",2,3,2.624,3.376,4,2.376,2.624
282,"T2","1.000000",3,2,0.624,2.376,0,0.376,1.624
283,"T2","1.000000",2,2,3.624,0.376,3.376,0.376,1.624
284,"T2","1.000000",1,3,1.624,4,4,1.376,0.624
285,"T1","1.000000",3,3,3.828,0.172,1.172,0.172,1.828
286,"T0","0.000000",3,3,2,1,0,0,0
287,"T2","1.000000",3,3,0.624,1.376,0.376,0,2.624
288,"T0","0.000000",1,1,3,0,1,3,4
289,"T1","1.000000",3,1,0,0,3.172,0.172,0
290,"T1","1.000000",2,3,4,3.172,0.172,4,0
291,"T0","0.000000",1,2,3,4,1,3,4
292,"T2","1.000000",3,3,0,2.376,2.376,3.376,1.624
293,"T2","1.000000",2,3,2.624,4,4,1.376,0.624
294,"T2","1.000000",1,2,0.624,3.376,1.376,1.376,2.624
295,"T1","1.000000",3,2,0,2.172,1.172,2.172,1.828
296,"T2","1.000000",3,1,0,2.376,3.376,2.376,0.624
297,"T0","0.000000",3,2,2,3,1,0,2
298,"T2","1.000000",1,2,3.624,4,2.376,1.376,0.624
299,"T2","1.000000",2,2,3.624,3.376,1.376,3.376,1.624
300,"T1","1.000000",1,3,3.828,4,1.172,1.172,4
301,"T2","1.000000",3,3,2.624,3.376,3.376,0,2.624
302,"T1","1.000000",3,2,0,3.172,3.172,0,1.828
303,"T2","1.000000",3,2,0,0.376,2.376,1.376,0
304,"T0","0.000000",1,2,1,2,4,4,4
305,"T0","0.000000",3,1,0,0,0,0,0
306,"T1","1.000000",3,3,2.828,1.172,1.172,0,2.828
307,"T0","0.000000",2,2,1,0,1,4,3
308,"T1","1.000000",2,3,0.828,4,2.172,3.172,2.828
309,"T2","1.000000",1,1,2.624,3.376,4,1.376,2.624
310,"T2","1.000000",2,2,3.624,0.376,3.376,1.376,3.624
311,"T1","1.000000",3,3,2.828,2.172,3.172,3.172,2.828
312,"T0","0.000000",2,2,3,3,0,2,1
313,"T2","1.000000",1,1,2.624,3.376,4,3.376,4
314,"T2","1.000000",1,1,0,0.376,4,1.376,0.624
315,"T0","0.000000",2,3,4,1,4,4,4
316,"T1","1.000000",3,1,0.828,2.172,0,3.172,1.828
317,"T0","0.000000",1,2,1,2,3,4,2
318,"T2","1.000000",3,2,2.624,0.376,0,3.376,0
319,"T1","1.000000",1,3,2.828,3.172,1.172,4,1.828
320,"T2","1.000000",3,2,0,0.376,1.376,0,0.624
321,"T1","1.000000",2,1,0,1.172,4,4,3.828
322,"T2","1.000000",2,1,0.624,3.376,4,4,0.624
323,"T1","1.000000",1,1,2.828,4,1.172,1.172,3.828
324,"T2","1.000000",1,3,2.624,2.376,2.376,2.376,2.624
325,"T1","1.000000",2,1,0.828,2.172,2.172,2.172,0.828
326,"T1","1.000000",3,1,1.828,2.172,0,0,1.828
327,"T0","0.000000",3,2,0,2,0,1,0
328,"T0","0.000000",1,2,4,3,3,1,1
329,"T0","0.000000",2,3,3,3,4,1,0
330,"T2","1.000000",3,3,2.624,2.376,1.376,1.376,1.624
331,"T1","1.000000",2,2,2.828,4,4,1.172,0
332,"T1","1.000000",2,1,0.828,3.172,0.172,2.172,3.828
333,"T1","1.000000",1,2,0.828,2.172,4,4,4
334,"T0","0.000000",3,3,1,4,0,1,0
335,"T2","1.000000",3,2,0.624,2.376,1.376,1.376,2.624
336,"T1","1.000000",3,2,0,0.172,1.172,1.172,0
337,"T2","1.000000",1,2,1.624,4,4,1.376,4
338,"T2","1.000000",1,1,0,4,4,2.376,2.624
339,"T1","1.000000",2,3,1.828,3.172,4,1.172,3.828
340,"T2","1.000000",3,1,1.624,2.376,2.376,1.376,0
341,"T2","1.000000",3,1,0,2.376,1.376,1.376,1.624
342,"T1","1.000000",3,2,0,3.172,0,3.172,1.828
343,"T2","1.000000",2,3,2.624,4,2.376,0.376,0.624
344,"T0","0.000000",3,1,1,1,0,2,0
345,"T2","1.000000",3,3,1.624,3.376,2.376,0.376,0.624
346,"T0","0.000000",3,1,0,0,2,0,0
347,"T0","0.000000",1,2,3,4,3,2,1
348,"T1","1.000000",2,3,4,1.172,1.172,4,0.828
349,"T0","0.000000",3,1,0,0,1,0,1
350,"T1","1.000000",3,3,0.828,1.172,0,1.172,1.828
351,"T2","1.000000",2,1,1.624,0.376,2.376,1.376,0
352,"T0","0.000000",3,3,3,3,0,1,3
353,"T1","1.000000",2,3,4,4,3.172,2.172,0.828
354,"T2","1.000000",2,1,0,0,3.376,2.376,1.624
355,"T2","1.000000",3,1,0,0,3.376,0,1.624
356,"T2","1.000000",3,3,1.624,1.376,0.376,3.376,0.624
357,"T0","0.000000",1,3,4,3,3,2,4
358,"T0","0.000000",2,3,3,4,2,3,0
359,"T2","1.000000",3,3,1.624,3.376,3.376,3.376,2.624
360,"T1","1.000000",1,1,0,1.172,1.172,2.172,1.828
361,"T2","1.000000",2,3,2.624,2.376,1.376,4,0.624
362,"T1","1.000000",2,2,3.828,1.172,1.172,4,0.828
363,"T0","0.000000",2,1,0,0,0,4,0
364,"T2","1.000000",1,2,4,4,1.376,3.376,0.624
365,"T2","1.000000",1,1,0.624,4,3.376,4,0.624
366,"T0","0.000000",3,1,0,2,0,1,2
367,"T1","1.000000",1,1,3.828,0.172,1.172,4,0.828
368,"T2","1.000000",2,3,3.624,4,2.376,0.376,0
369,"T1","1.000000",1,3,4,4,1.172,2.172,4
370,"T2","1.000000",1,3,3.624,4,3.376,3.376,2.624
371,"T0","0.000000",1,1,0,4,1,4,4
372,"T0","0.000000",2,1,3,0,2,4,1
373,"T1","1.000000",2,2,0,0.172,0.172,1.172,1.828
374,"T2","1.000000",1,3,3.624,4,1.376,3.376,4
375,"T2","1.000000",2,3,2.624,2.376,3.376,4,0
376,"T1","1.000000",3,1,0.828,0,1.172,3.172,2.828
377,"T1","1.000000",1,1,0.828,4,2.172,2.172,2.828
378,"T2","1.000000",2,3,1.624,2.376,1.376,3.376,1.624
379,"T0","0.000000",2,2,4,4,3,0,4
380,"T1","1.000000",3,2,0.828,0.172,3.172,0.172,1.828
381,"T1","1.000000",2,2,0.828,2.172,2.172,2.172,3.828
382,"T0","0.000000",2,2,3,1,2,3,1
383,"T1","1.000000",1,3,2.828,4,1.172,1.172,1.828
384,"T2","1.000000",3,2,0,0,0.376,1.376,0
385,"T1","1.000000",3,3,3.828,1.172,0.172,0.172,0
386,"T0","0.000000",3,3,3,1,0,1,3
387,"T0","0.000000",3,1,0,0,0,1,2
388,"T1","1.000000",3,3,3.828,4,0.172,0,0.828
389,"T1","1.000000",2,2,0,2.172,1.172,1.172,2.828
390,"T1","1.000000",1,1,3.828,2.172,1.172,3.172,0.828
391,"T1","1.000000",3,2,0,0.172,0,3.172,0.828
392,"T1","1.000000",3,2,0.828,2.172,3.172,0,1.828
393,"T1","1.000000",2,1,2.828,0.172,1.172,3.172,0
394,"T0","0.000000",2,2,3,4,4,0,4
395,"T1","1.000000",2,2,2.828,4,2.172,4,1.828
396,"T2","1.000000",3,1,0,0,2.376,3.376,0
397,"T0","0.000000",1,2,4,1,1,2,1
398,"T1","1.000000",3,3,1.828,2.172,2.172,1.172,1.828
399,"T0","0.000000",3,1,0,0,0,0,0
400,"T2","1.000000",1,2,2.624,4,2.376,3.376,3.624
401,"T1","1.000000",1,3,4,3.172,4,3.172,4
402,"T2","1.000000",1,2,1.624,4,2.376,4,3.624
403,"T2","1.000000",3,3,1.624,3.376,1.376,1.376,0
404,"T1","1.000000",1,2,4,4,4,2.172,1.828
405,"T0","0.000000",3,2,1,3,0,2,1
406,"T1","1.000000",3,1,0,1.172,3.172,1.172,0.828
407,"T0","0.000000",2,3,3,1,3,0,2
408,"T0","0.000000",1,1,3,4,4,4,1
409,"T1","1.000000",1,2,0.828,4,4,4,1.828
410,"T1","1.000000",2,1,1.828,2.172,0.172,4,2.828
411,"T0","0.000000",2,2,4,2,3,0,1
412,"T1","1.000000",2,1,0.828,0.172,2.172,3.172,3.828
413,"T0","0.000000",3,3,3,4,0,1,0
414,"T0","0.000000",3,2,3,0,0,3,2
415,"T1","1.000000",2,3,0.828,3.172,4,1.172,0
416,"T0","0.000000",3,2,2,1,2,0,2
417,"T1","1.000000",2,3,2.828,4,2.172,4,0.828
418,"T2","1.000000",3,1,0,0,0.376,0,2.624
419,"T0","0.000000",3,3,2,3,0,3,0
420,"T0","0.000000",2,1,0,1,4,2,0
421,"T1","1.000000",2,3,4,4,0.172,1.172,1.828
422,"T0","0.000000",3,3,4,0,0,2,0
423,"T1","1.000000",3,2,0,1.172,0,0.172,2.828
424,"T1","1.000000",1,1,0.828,2.172,2.172,4,3.828
425,"T2","1.000000",2,2,2.624,1.376,4,1.376,1.624
426,"T2","1.000000",1,2,3.624,4,2.376,1.376,4
427,"T2","1.000000",1,3,3.624,4,2.376,4,0.624
428,"T2","1.000000",1,3,4,2.376,4,4,2.624
429,"T0","0.000000",3,3,2,0,1,0,0
430,"T0","0.000000",2,3,3,4,0,1,2
431,"T0","0.000000",3,3,3,2,3,0,3
432,"T0","0.000000",1,1,4,3,2,4,4
433,"T1","1.000000",3,1,0.828,2.172,0.172,1.172,1.828
434,"T0","0.000000",3,2,2,3,2,3,3
435,"T0","0.000000",1,3,3,2,1,3,3
436,"T0","0.000000",2,3,3,4,0,4,1
437,"T1","1.000000",3,3,1.828,1.172,3.172,1.172,0
438,"T2","1.000000",1,3,4,4,2.376,1.376,4
439,"T2","1.000000",1,2,0.624,1.376,3.376,3.376,2.624
440,"T0","0.000000",1,1,3,0,2,4,2
441,"T0","0.000000",3,1,1,0,1,1,0
442,"T1","1.000000",1,2,4,4,4,2.172,3.828
443,"T0","0.000000",1,1,3,2,4,2,4
444,"T1","1.000000",3,1,0.828,0.172,3.172,3.172,0
445,"T2","1.000000",3,1,0,0,0.376,2.376,1.624
446,"T1","1.000000",1,3,3.828,4,3.172,4,4
447,"T0","0.000000",1,3,4,2,2,2,2
448,"T0","0.000000",3,1,2,0,0,0,2
449,"T1","1.000000",3,3,0.828,0.172,0.172,0.172,0
450,"T1","1.000000",1,1,0.828,2.172,3.172,3.172,1.828
451,"T2","1.000000",2,1,0,0,3.376,0.376,0.624
452,"T2","1.000000",1,2,2.624,2.376,3.376,4,4
453,"T2","1.000000",2,3,0.624,4,4,3.376,2.624
454,"T0","0.000000",3,3,2,1,0,2,0
455,"T0","0.000000",1,1,0,2,2,1,4
456,"T2","1.000000",2,3,4,4,1.376,4,0.624
457,"T2","1.000000",3,2,0,2.376,0.376,3.376,1.624
458,"T2","1.000000",2,1,1.624,2.376,0.376,4,2.624
459,"T0","0.000000",1,3,2,4,2,3,4
460,"T0","0.000000",1,2,4,3,4,1,3
461,"T1","1.000000",2,2,2.828,1.172,1.172,3.172,1.828
462,"T0","0.000000",2,3,3,1,3,0,0
463,"T0","0.000000",1,3,4,3,4,2,4
464,"T2","1.000000",1,1,2.624,3.376,3.376,3.376,3.624
