StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,Q3,Q4,Q5,Q6,Q7,Q8,mil_inter_1,mil_inter_2,mil_inter_3,mil_inter_4,ideology_1,interest,conservative,nato,uk,zelensky,attention,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,direct_mil,indirect_mil,economic,political,general_1,Q40_1,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,Q47,Q48,Q49,Q50,Q51_1,Q52_1,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,Q57,Q58,Q59,Q60,Q61_1,Q62_1
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_3xehGASIFv5JQ4C,,,,,33.8231,-84.3258,test,,I agree,Male,55+ years old,Asian - Indian,Master’s degree or above,I prefer not to say,"$50,000 - $100,000",Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,7,Not at all interested,Don't know,Don't know,Theresa May,Ukraine,1,2.75,4.64,7.05,17,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,4,4,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_895jAGS4IxWtkSW,,,,,33.8231,-84.3258,test,,I agree,Female,Less than 18 years old,Hispanic,Highschool,Other,"$100,000 - $200,000",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,5,Somewhat interested,Republicans,Turkey,Justin Trudeau,Ukraine,3,,,,,,,,,,,,,,,,,,,,,8.52,9.31,8.84,36,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,10,5
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_07jSoDPDFJJAywu,,,,,33.8231,-84.3258,test,,I don't agree,Female,Less than 18 years old,Hispanic,Bachelor’s degree,I prefer not to say,"Less than $25,000",Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,8,Not interested,Democrats,Don't know,Boris Johnson,Don't know,2,,,,,,,,,,,,,,,,,,,,,9.76,9.9,9.91,35,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,7,9
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_0kMGa1N5u5YUgPY,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,25-34 years old,Other,I prefer not to say,Full-time,"More than $200,000",Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,2,Somewhat interested,Don't know,Bulgaria,Justin Trudeau,Greece,3,3.47,9.1,8.61,31,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,2,5,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_ac8OSlSpWE3FL6u,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,18-24 years old,Hispanic,Master’s degree or above,Part-time,I prefer not to say,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,3,Not interested,Republicans,Ukraine,Theresa May,United Kingdom,4,,,,,,,,,,,0,2.76,3.91,2,Send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,6,8,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_bduEkPu3GtNtMc6,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,25-34 years old,Mixed race,I prefer not to say,Other,"$100,000 - $200,000",Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,0,Not interested,Republicans,Bulgaria,Justin Trudeau,United Kingdom,3,1.53,7.75,9.28,34,Send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,1,5,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_1XGrgQG1yhmVemO,,,,,33.8231,-84.3258,test,,I don't agree,Non-binary / third gender,35-44 years old,Other,Other,Part-time,"$25,000 - $50,000",Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,Not at all interested,Don't know,Don't know,Boris Johnson,Greece,1,,,,,,,,,,,0.22,9.2,0.46,21,Send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,6,6,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_4HnipjFdnl9c09U,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,25-34 years old,Asian - Eastern,I prefer not to say,Part-time,I prefer not to say,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,2,Not interested,Democrats,Bulgaria,Don't know,Colombia,1,,,,,,,,,,,,,,,,,,,,,3.98,8.22,8.98,10,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,7,10
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_8wfzSS0NBRJnFT8,,,,,33.8231,-84.3258,test,,I don't agree,Female,35-44 years old,Hispanic,Bachelor’s degree,I prefer not to say,"Less than $25,000",Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,1,Not interested,Democrats,Estonia,Boris Johnson,Don't know,4,,,,,,,,,,,9.23,9.87,9.59,17,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,4,7,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_d6yQO2jQZYkP6YK,,,,,33.8231,-84.3258,test,,I don't agree,Female,Prefer not to say,Asian - Eastern,I prefer not to say,I prefer not to say,"$50,000 - $100,000",Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,6,Somewhat interested,Don't know,Bulgaria,Don't know,Ukraine,1,2.49,3.3,8.62,32,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,7,6,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,1,TRUE,11/6/22 17:25,R_6hU5kAECuw85lcy,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,Less than 18 years old,Native-American,Master’s degree or above,Full-time,"Less than $25,000",Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,5,Somewhat interested,Don't know,Estonia,Scott Morrison,United Kingdom,1,,,,,,,,,,,,,,,,,,,,,6.49,6.99,8.2,36,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,7,2
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_1SQbZ8lVzS0hvfw,,,,,33.8231,-84.3258,test,,I agree,Male,45-54 years old,Native-American,I prefer not to say,Full-time,"$25,000 - $50,000",Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,Not at all interested,Democrats,Turkey,Theresa May,Colombia,3,8.23,8.36,8.84,35,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,0,7,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_37ZsA0N8Nsvmwjs,,,,,33.8231,-84.3258,test,,I don't agree,Non-binary / third gender,55+ years old,Native-American,Other,Other,"$25,000 - $50,000",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,6,Somewhat interested,Don't know,Ukraine,Theresa May,Ukraine,2,,,,,,,,,,,,,,,,,,,,,5.12,5.45,6.88,43,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,8,2
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_8dePRYPC6kOIeKq,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,Prefer not to say,I prefer not to say,Bachelor’s degree,Full-time,"$25,000 - $50,000",Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,3,No answer,Republicans,Bulgaria,Justin Trudeau,Greece,1,,,,,,,,,,,6.17,7.12,6.39,38,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,0,5,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_0cuNL7YIOG7nP1Q,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,Prefer not to say,African-American,Bachelor’s degree,Unemployed,"$25,000 - $50,000",Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,7,Somewhat interested,Don't know,Estonia,Boris Johnson,Ukraine,4,,,,,,,,,,,9.81,9.95,9.93,28,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,2,5,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_4Z7pjCdXAlvl7ca,,,,,33.8231,-84.3258,test,,I agree,Male,45-54 years old,African-American,Bachelor’s degree,Unemployed,"$25,000 - $50,000",Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,1,Somewhat interested,Don't know,Estonia,Justin Trudeau,Ukraine,2,0.48,3.1,1.78,18,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,3,4,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,1,TRUE,11/6/22 17:25,R_3CO9z6ko0stwh6K,,,,,33.8231,-84.3258,test,,I agree,Female,18-24 years old,Native-American,I prefer not to say,Contract/ Temporary,I prefer not to say,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3,No answer,Republicans,Ukraine,Don't know,Greece,2,,,,,,,,,,,,,,,,,,,,,4.57,9.29,4.64,15,Send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,8,1
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_23pXsQYc3Uglq2W,,,,,33.8231,-84.3258,test,,I don't agree,Non-binary / third gender,25-34 years old,African-American,Highschool,Part-time,"$100,000 - $200,000",Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,9,Not at all interested,Democrats,Bulgaria,Don't know,Ukraine,2,0,7.48,0.19,44,Send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,9,3,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_5hTR6X1theYmHiu,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,18-24 years old,Other,I prefer not to say,Contract/ Temporary,"More than $200,000",Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,3,No answer,Republicans,Don't know,Scott Morrison,Ukraine,3,,,,,,,,,,,7.79,9.16,9.39,0,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,2,3,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_a2vRPmYEGe6ZUto,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,25-34 years old,Other,Highschool,Unemployed,"More than $200,000",Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,8,Not interested,Democrats,Ukraine,Scott Morrison,Ukraine,4,,,,,,,,,,,,,,,,,,,,,6.97,8.98,9.41,42,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,4,5
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_d5aoJO4aUlIrvee,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,18-24 years old,Other,I prefer not to say,Unable to work,"Less than $25,000",Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,2,No answer,Don't know,Estonia,Theresa May,Ukraine,2,,,,,,,,,,,,,,,,,,,,,4.56,7.41,5.02,7,Send US troops to Ukraine,Do not send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,6,6
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_7Wi5arVrkSlugwm,,,,,33.8231,-84.3258,test,,I don't agree,Prefer not to say,18-24 years old,Asian - Eastern,Other,Contract/ Temporary,I prefer not to say,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,2,Not interested,Republicans,Turkey,Don't know,Don't know,3,2.86,3.77,7.6,17,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,8,2,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_29yXbxPvbRxVSaa,,,,,33.8231,-84.3258,test,,I agree,Male,Prefer not to say,I prefer not to say,Other,I prefer not to say,I prefer not to say,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,6,Somewhat interested,Republicans,Bulgaria,Justin Trudeau,Greece,3,,,,,,,,,,,5.14,5.51,8.27,8,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,2,10,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_4Ypi4zu2kTvppDo,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,45-54 years old,Hispanic,I prefer not to say,Full-time,"Less than $25,000",Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,3,No answer,Republicans,Bulgaria,Justin Trudeau,Ukraine,3,,,,,,,,,,,,,,,,,,,,,6.07,9.23,8.97,38,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,3,5
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_0D3eHamwS584NKe,,,,,33.8231,-84.3258,test,,I don't agree,Female,45-54 years old,African-American,Highschool,Unable to work,"Less than $25,000",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,5,Not interested,Don't know,Turkey,Justin Trudeau,Colombia,2,,,,,,,,,,,5.83,7.74,6.96,0,Do not send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,1,9,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_5zjWNIYriZuH0Cq,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,18-24 years old,Hispanic,Master’s degree or above,Part-time,"$100,000 - $200,000",Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,0,Not interested,Republicans,Estonia,Boris Johnson,United Kingdom,4,7.28,9.14,7.99,44,Send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,7,8,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_bw4tegbl6c0ZGF8,,,,,33.8231,-84.3258,test,,I agree,Prefer not to say,35-44 years old,Asian - Eastern,Highschool,Other,"More than $200,000",Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,2,Not at all interested,Republicans,Bulgaria,Don't know,Ukraine,3,,,,,,,,,,,1.73,4.82,8.45,40,Do not send US troops to Ukraine,Do not send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Condemn Russia's actions in an international court,7,8,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,1,TRUE,11/6/22 17:25,R_3vAhF3Y6IsFgDNI,,,,,33.8231,-84.3258,test,,I don't agree,Non-binary / third gender,55+ years old,Asian - Indian,I prefer not to say,Unable to work,"$100,000 - $200,000",Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,7,Not at all interested,Democrats,Ukraine,Justin Trudeau,Don't know,2,7.26,8.39,9.51,46,Send US troops to Ukraine,Send military resources to Ukrainian troops,Enact economic sanctions on Russia,Condemn Russia's actions in an international court,9,2,,,,,,,,,,,,,,,,,,,,
11/6/22 17:25,11/6/22 17:25,Survey Test,,100,0,TRUE,11/6/22 17:25,R_5dNKzcotnGpWpcG,,,,,33.8231,-84.3258,test,,I agree,Non-binary / third gender,Less than 18 years old,Asian - Indian,I prefer not to say,Contract/ Temporary,"$50,000 - $100,000",Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,4,Not interested,Democrats,Estonia,Don't know,Colombia,4,,,,,,,,,,,,,,,,,,,,,8.07,8.23,9.23,26,Send US troops to Ukraine,Send military resources to Ukrainian troops,Do not enact economic sanctions on Russia,Do not condemn Russia's actions in an international court,10,2
