"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
172,2,1,2,1,0.624,3.376,3.376,0.376,2.624
173,1,1,2,3,4,3.172,4,0.172,1.828
174,1,1,3,3,2.828,3.172,1.172,0,0.828
175,0,0,3,2,2,0,2,3,2
176,1,1,1,1,1.828,2.172,3.172,1.172,0.828
177,0,0,2,1,0,3,2,4,4
178,1,1,3,1,0.828,0.172,2.172,2.172,0
179,2,1,2,2,3.624,1.376,1.376,1.376,1.624
180,0,0,2,2,1,4,4,2,4
181,0,0,1,1,3,3,4,4,3
182,1,1,1,3,4,4,3.172,2.172,4
183,1,1,1,3,2.828,3.172,4,1.172,1.828
184,2,1,1,2,1.624,2.376,2.376,3.376,2.624
185,0,0,3,3,1,0,0,0,0
186,2,1,3,3,0,0.376,2.376,1.376,0
187,0,0,3,1,2,1,0,0,0
188,2,1,2,1,1.624,0,0.376,3.376,2.624
189,0,0,2,3,4,1,1,0,2
190,2,1,1,3,1.624,4,4,4,2.624
191,1,1,3,3,1.828,1.172,3.172,1.172,0.828
192,2,1,1,1,0,0.376,1.376,4,3.624
193,0,0,3,1,2,1,0,1,3
194,0,0,1,3,3,4,4,2,2
195,2,1,1,3,2.624,4,4,4,2.624
196,0,0,1,3,3,4,2,3,4
197,1,1,3,3,0.828,4,0.172,1.172,0.828
198,1,1,2,1,0,0,0.172,3.172,0.828
199,1,1,2,3,4,4,2.172,3.172,0.828
200,2,1,1,2,4,4,1.376,3.376,1.624
201,0,0,3,3,0,2,0,0,1
202,0,0,1,2,2,4,3,3,4
203,2,1,3,3,0.624,4,0.376,2.376,0
204,2,1,3,3,3.624,3.376,0.376,0.376,1.624
205,0,0,1,3,4,4,4,4,2
206,0,0,1,2,4,3,3,4,4
207,0,0,1,3,4,2,3,3,4
208,1,1,1,2,3.828,1.172,4,2.172,3.828
209,0,0,1,3,4,2,4,1,4
210,2,1,2,2,3.624,1.376,0.376,2.376,0.624
211,0,0,2,2,2,1,2,0,3
212,1,1,3,2,1.828,0.172,2.172,3.172,0
213,2,1,3,2,1.624,2.376,0,2.376,0
214,2,1,1,2,3.624,4,3.376,4,2.624
215,0,0,1,2,2,2,2,2,1
216,1,1,1,3,1.828,4,4,3.172,4
217,1,1,3,3,0.828,4,0,0.172,0.828
218,0,0,1,1,0,0,2,4,1
219,2,1,2,3,1.624,4,0.376,2.376,2.624
220,1,1,3,2,0,3.172,2.172,3.172,0.828
221,0,0,3,1,0,1,0,2,3
222,1,1,1,3,2.828,2.172,1.172,1.172,3.828
223,0,0,3,2,2,2,0,2,3
224,0,0,1,2,2,3,4,2,4
225,2,1,3,3,0.624,3.376,2.376,1.376,0.624
226,2,1,3,3,1.624,1.376,1.376,0.376,0
227,1,1,2,2,3.828,4,3.172,2.172,3.828
228,2,1,1,2,3.624,2.376,3.376,3.376,0.624
229,2,1,1,1,1.624,3.376,4,2.376,2.624
230,0,0,3,2,0,1,3,2,0
231,2,1,2,1,0,0,4,1.376,1.624
232,0,0,2,3,2,2,1,2,4
233,2,1,3,2,0,3.376,3.376,0.376,0
234,0,0,1,2,1,1,1,3,3
235,2,1,2,2,1.624,0.376,0.376,4,0.624
236,1,1,3,3,0.828,2.172,0.172,0.172,2.828
237,2,1,2,3,2.624,2.376,0.376,0.376,0.624
238,1,1,3,1,0,2.172,1.172,0.172,2.828
239,1,1,2,3,2.828,1.172,2.172,2.172,0.828
240,1,1,2,1,2.828,2.172,1.172,3.172,2.828
241,1,1,3,1,1.828,0,3.172,0,0
242,1,1,2,1,0.828,2.172,3.172,4,2.828
243,2,1,2,1,0,2.376,3.376,1.376,1.624
244,1,1,3,2,0,1.172,3.172,0.172,0
245,1,1,2,3,3.828,2.172,1.172,0.172,0.828
246,2,1,1,3,4,2.376,4,2.376,2.624
247,2,1,1,3,3.624,4,3.376,4,3.624
248,1,1,3,1,0.828,0,1.172,0.172,0
249,1,1,2,1,0.828,1.172,1.172,2.172,0.828
250,0,0,2,2,4,1,3,1,4
251,0,0,3,1,0,0,0,0,0
252,0,0,3,3,2,2,2,0,1
253,1,1,1,2,3.828,4,3.172,3.172,0.828
254,2,1,1,1,3.624,4,1.376,3.376,3.624
255,1,1,1,3,4,3.172,2.172,4,4
256,1,1,1,2,1.828,1.172,1.172,4,3.828
257,2,1,2,2,0,4,4,0.376,0.624
258,2,1,3,3,0,3.376,0,1.376,2.624
259,1,1,2,3,3.828,1.172,4,1.172,2.828
260,0,0,1,3,3,4,4,3,3
261,1,1,3,2,0.828,0.172,3.172,0,1.828
262,1,1,1,1,0.828,4,2.172,3.172,0.828
263,2,1,1,1,0,0.376,4,4,4
264,0,0,1,1,2,3,2,4,3
265,2,1,3,1,0,2.376,3.376,2.376,1.624
266,1,1,3,2,0.828,1.172,1.172,0,1.828
267,0,0,1,2,4,4,4,2,4
268,2,1,2,2,2.624,0.376,1.376,2.376,0
269,1,1,1,2,2.828,3.172,1.172,1.172,4
270,2,1,2,2,0.624,0.376,3.376,0.376,3.624
271,0,0,3,3,3,4,1,0,0
272,0,0,2,3,1,1,2,3,4
273,0,0,1,3,2,4,4,1,1
274,1,1,1,2,2.828,4,3.172,2.172,3.828
275,1,1,1,1,0.828,1.172,2.172,2.172,0.828
276,2,1,3,3,1.624,0.376,1.376,0.376,0.624
277,0,0,2,3,4,4,4,4,2
278,0,0,3,2,3,0,0,3,0
279,1,1,2,1,1.828,1.172,4,0.172,0
280,2,1,2,1,2.624,0,1.376,0.376,2.624
281,0,0,3,3,1,2,0,1,0
282,0,0,3,1,0,0,3,2,3
283,2,1,2,3,4,3.376,3.376,4,2.624
284,1,1,3,3,0,1.172,1.172,2.172,0
285,2,1,3,3,3.624,3.376,1.376,3.376,1.624
286,0,0,3,1,2,0,3,1,3
287,0,0,2,1,2,0,2,3,0
288,0,0,1,2,4,4,3,4,3
289,1,1,1,3,2.828,4,2.172,3.172,0.828
290,2,1,3,2,1.624,3.376,0.376,2.376,1.624
291,1,1,1,1,3.828,3.172,3.172,3.172,1.828
292,1,1,1,3,4,4,4,3.172,2.828
293,0,0,1,2,4,2,1,2,2
294,1,1,1,1,2.828,4,1.172,3.172,1.828
295,0,0,2,2,0,3,0,1,2
296,0,0,2,1,1,0,4,1,1
297,2,1,3,3,2.624,0.376,0,3.376,2.624
298,0,0,2,2,1,1,0,4,4
299,1,1,1,2,1.828,4,4,4,4
300,2,1,3,1,0.624,0,0,0.376,1.624
301,2,1,3,3,1.624,1.376,0,2.376,0
302,0,0,2,2,4,2,0,2,4
303,0,0,3,1,1,0,0,3,3
304,1,1,3,2,2.828,1.172,3.172,3.172,0
305,0,0,3,3,1,1,0,1,1
306,2,1,2,3,1.624,4,4,4,1.624
307,2,1,2,2,0,3.376,3.376,1.376,0.624
308,2,1,1,3,2.624,4,2.376,3.376,1.624
309,1,1,2,3,2.828,4,2.172,0.172,2.828
310,0,0,3,2,0,0,3,0,0
311,2,1,2,3,4,2.376,4,3.376,0.624
312,1,1,2,2,0,4,1.172,3.172,0.828
313,2,1,2,3,4,3.376,4,0.376,2.624
314,0,0,3,2,3,0,1,2,1
315,1,1,1,1,0,1.172,2.172,4,0.828
316,0,0,1,1,2,3,4,4,1
317,0,0,1,1,1,2,4,2,4
318,2,1,2,1,2.624,2.376,1.376,1.376,0
319,2,1,2,3,3.624,1.376,2.376,4,3.624
320,0,0,2,1,3,0,0,0,1
321,2,1,1,3,4,4,1.376,1.376,4
322,1,1,1,3,4,4,4,4,0.828
323,0,0,2,1,0,0,0,4,2
324,2,1,1,3,4,4,4,4,3.624
325,0,0,2,2,3,4,1,1,3
326,2,1,3,2,0.624,0,0,3.376,0
327,1,1,1,1,0.828,3.172,4,4,4
328,1,1,1,2,2.828,4,3.172,3.172,4
329,1,1,3,3,3.828,2.172,3.172,3.172,1.828
330,0,0,3,1,0,0,2,2,2
331,0,0,3,3,0,3,0,1,1
332,2,1,3,2,0,2.376,0.376,0,0
333,0,0,2,1,3,2,4,4,0
334,1,1,1,2,4,4,1.172,3.172,2.828
335,0,0,2,3,3,1,3,3,2
336,0,0,3,3,4,1,2,1,2
337,0,0,3,2,0,2,3,2,0
338,1,1,1,3,2.828,4,3.172,4,3.828
339,0,0,3,1,2,2,1,2,2
340,1,1,3,2,2.828,3.172,0.172,2.172,1.828
341,1,1,3,3,3.828,3.172,2.172,0.172,0
342,2,1,1,2,0.624,2.376,1.376,3.376,4
343,1,1,1,2,2.828,4,2.172,4,2.828
344,1,1,2,1,1.828,1.172,4,0.172,3.828
345,2,1,2,3,2.624,4,2.376,0.376,3.624
346,0,0,2,1,1,0,1,4,4
347,1,1,2,1,2.828,1.172,4,3.172,0.828
348,0,0,3,3,0,0,2,0,0
349,0,0,1,2,3,4,2,4,4
350,2,1,3,3,1.624,4,0,3.376,0
351,2,1,3,1,0,2.376,0.376,2.376,1.624
352,2,1,3,2,0,2.376,1.376,3.376,0.624
353,2,1,2,1,0.624,1.376,1.376,4,2.624
354,2,1,1,2,4,1.376,1.376,1.376,4
355,1,1,2,2,0.828,3.172,1.172,4,0.828
356,0,0,1,3,4,3,3,2,2
357,2,1,2,1,1.624,0,0.376,0.376,0.624
358,1,1,3,1,0,0,0,0.172,1.828
359,2,1,3,1,0,0,2.376,0.376,0
360,0,0,2,3,3,1,0,3,0
361,0,0,1,2,4,4,4,4,4
362,0,0,3,2,1,0,1,0,0
363,0,0,3,1,2,0,1,1,2
364,1,1,3,1,0,0,1.172,0.172,0.828
365,0,0,2,2,1,3,1,4,4
366,2,1,1,1,0.624,3.376,2.376,4,1.624
367,2,1,2,3,0.624,4,4,0.376,0.624
368,1,1,3,3,1.828,3.172,2.172,1.172,0.828
369,0,0,1,3,4,3,4,3,1
370,0,0,1,3,4,4,2,1,4
371,1,1,2,1,2.828,3.172,3.172,4,2.828
372,0,0,1,2,4,4,2,3,4
373,1,1,1,2,2.828,2.172,4,4,1.828
374,2,1,1,2,4,4,2.376,4,3.624
375,1,1,2,3,3.828,4,0.172,0.172,1.828
376,1,1,3,2,0.828,2.172,3.172,0.172,0
377,2,1,2,3,3.624,4,4,1.376,0.624
378,0,0,3,1,0,0,3,1,2
379,0,0,2,1,2,3,4,3,3
380,1,1,1,1,2.828,1.172,3.172,1.172,2.828
381,2,1,1,3,3.624,3.376,3.376,4,3.624
382,0,0,2,1,0,3,4,4,2
383,2,1,2,1,0,2.376,2.376,2.376,0.624
384,1,1,1,3,4,4,3.172,3.172,2.828
385,2,1,3,2,0,0.376,3.376,0,1.624
386,0,0,3,3,4,0,2,0,3
387,1,1,3,2,0,1.172,1.172,3.172,0.828
388,2,1,3,2,0.624,0.376,0.376,3.376,1.624
389,2,1,2,2,0,3.376,0.376,0.376,3.624
390,2,1,3,1,0.624,0.376,0,0.376,0.624
391,0,0,3,2,3,3,1,0,0
392,2,1,3,2,0,1.376,1.376,2.376,0.624
393,2,1,3,3,0,2.376,3.376,2.376,0.624
394,0,0,1,3,2,4,4,1,1
395,0,0,3,1,0,0,1,0,0
396,1,1,1,3,2.828,4,4,1.172,0.828
397,2,1,3,3,3.624,4,3.376,2.376,0
398,1,1,3,2,0,0.172,2.172,2.172,2.828
399,0,0,2,2,0,0,0,3,0
400,0,0,3,2,2,3,1,3,3
401,1,1,1,3,3.828,2.172,3.172,3.172,1.828
402,0,0,2,3,1,4,2,3,1
403,0,0,3,1,0,0,3,3,1
404,0,0,3,2,0,0,2,3,0
405,0,0,2,3,4,3,0,4,4
406,1,1,3,1,0,0,2.172,2.172,1.828
407,0,0,1,3,4,4,3,1,2
408,1,1,3,2,0.828,0,0,2.172,0.828
409,2,1,2,1,2.624,0.376,2.376,0.376,1.624
410,0,0,3,1,0,1,3,3,0
411,0,0,3,2,0,1,0,1,1
412,1,1,3,1,0,0,0.172,1.172,1.828
413,2,1,2,1,2.624,0,2.376,1.376,0.624
414,1,1,2,1,1.828,2.172,1.172,1.172,1.828
415,1,1,3,3,2.828,2.172,0,1.172,1.828
416,2,1,2,3,4,3.376,3.376,3.376,0
417,0,0,3,2,2,3,2,1,2
418,1,1,3,3,1.828,3.172,1.172,1.172,1.828
419,2,1,1,1,0.624,2.376,1.376,3.376,4
420,0,0,2,1,0,3,4,4,3
421,0,0,2,1,1,3,0,4,0
422,0,0,2,1,1,3,3,1,0
423,1,1,2,3,3.828,2.172,0.172,4,2.828
424,1,1,1,3,2.828,4,4,4,1.828
425,2,1,3,1,0,0,2.376,0.376,1.624
426,0,0,3,2,0,0,3,2,0
427,1,1,2,1,0.828,1.172,4,1.172,3.828
428,1,1,3,2,1.828,3.172,0,3.172,0
429,1,1,2,1,0,0,0.172,0.172,2.828
430,0,0,1,3,2,4,2,1,4
431,0,0,3,2,0,2,2,0,0
432,2,1,1,3,4,2.376,2.376,1.376,4
433,2,1,1,2,0.624,4,4,4,3.624
434,2,1,1,1,0,0.376,4,1.376,2.624
435,2,1,2,1,0,2.376,2.376,2.376,1.624
436,2,1,2,3,4,1.376,0.376,4,0
437,0,0,2,2,2,4,0,2,1
438,0,0,1,2,2,4,4,2,1
439,2,1,3,1,0.624,0,1.376,1.376,0
440,2,1,2,1,0,2.376,0.376,1.376,2.624
441,0,0,3,3,2,0,0,0,0
442,1,1,3,3,0.828,0.172,2.172,0.172,2.828
443,2,1,3,3,0.624,4,0.376,1.376,0
444,1,1,2,2,2.828,1.172,4,3.172,0
445,2,1,2,1,1.624,2.376,0.376,3.376,1.624
446,0,0,3,1,0,1,0,0,0
447,0,0,2,3,3,4,2,3,2
448,2,1,1,2,2.624,4,3.376,1.376,1.624
449,0,0,3,3,0,0,0,2,2
450,1,1,3,3,1.828,3.172,0.172,1.172,0
451,1,1,2,3,4,1.172,1.172,4,0
452,2,1,3,2,0,2.376,1.376,0.376,0
453,0,0,2,1,2,3,3,1,3
454,1,1,1,1,3.828,2.172,3.172,4,4
455,2,1,1,2,1.624,4,4,4,3.624
456,2,1,1,3,3.624,3.376,4,1.376,0.624
457,2,1,1,3,2.624,2.376,4,2.376,4
458,1,1,1,3,1.828,4,2.172,4,4
459,2,1,2,2,1.624,3.376,0.376,4,3.624
460,2,1,3,3,0.624,3.376,0.376,3.376,0
461,1,1,1,3,2.828,4,4,4,4
462,0,0,2,3,4,3,1,3,1
463,2,1,1,2,2.624,1.376,1.376,2.376,3.624
464,0,0,3,2,0,1,2,0,1
465,0,0,2,3,3,4,1,4,2
466,0,0,3,2,0,3,0,3,0
467,1,1,1,1,3.828,4,2.172,4,0.828
468,0,0,3,3,2,3,0,2,1
469,2,1,2,1,1.624,0,3.376,1.376,0
470,2,1,1,2,3.624,2.376,4,3.376,3.624
471,0,0,2,2,2,1,0,4,4
472,1,1,2,3,1.828,4,3.172,1.172,1.828
473,2,1,2,3,0.624,2.376,1.376,0.376,2.624
474,2,1,3,1,0,0.376,0.376,0,0
475,2,1,3,3,1.624,0.376,0.376,1.376,2.624
476,0,0,1,1,3,4,2,2,3
477,0,0,2,3,1,4,0,1,4
478,0,0,1,2,2,2,3,4,2
479,2,1,1,1,0.624,2.376,1.376,1.376,2.624
480,0,0,1,1,0,0,4,3,1
481,1,1,2,1,0,0.172,4,4,0
482,0,0,3,2,0,3,0,0,1
483,1,1,3,2,2.828,0,0.172,2.172,2.828
484,1,1,2,3,3.828,4,0.172,3.172,1.828
485,1,1,2,2,3.828,0.172,0.172,0.172,0
486,0,0,2,3,4,4,3,4,4
487,0,0,3,2,0,3,1,1,0
488,0,0,3,2,1,3,3,1,0
489,2,1,3,1,0,2.376,3.376,3.376,0
490,2,1,2,2,2.624,1.376,0.376,2.376,0.624
491,0,0,3,2,2,2,3,2,0
492,1,1,2,2,0,1.172,2.172,2.172,0
493,0,0,1,2,3,4,3,3,4
494,1,1,3,3,3.828,0.172,0.172,0.172,1.828
495,0,0,2,3,3,4,1,2,3
496,0,0,1,2,4,4,2,3,4
497,1,1,3,2,2.828,2.172,2.172,0.172,2.828
498,0,0,2,2,1,1,3,3,4
499,0,0,1,1,2,4,1,1,4
500,1,1,3,1,1.828,1.172,2.172,1.172,0
501,1,1,1,1,0.828,4,3.172,1.172,0.828
502,2,1,1,1,0,2.376,3.376,4,0.624
503,1,1,1,2,2.828,1.172,2.172,2.172,4
504,1,1,3,1,0,1.172,0.172,3.172,0
505,2,1,1,1,0.624,0.376,3.376,2.376,2.624
506,2,1,1,2,3.624,1.376,1.376,4,4
507,2,1,3,2,2.624,1.376,0,3.376,0
508,2,1,2,1,0,3.376,2.376,2.376,2.624
509,0,0,1,2,3,4,4,4,4
510,2,1,1,3,4,4,1.376,3.376,4
511,1,1,2,1,0,3.172,2.172,1.172,1.828
512,2,1,1,2,4,1.376,4,2.376,2.624
513,2,1,3,1,1.624,2.376,0.376,1.376,0.624
514,0,0,1,2,4,4,1,4,3
515,0,0,3,3,3,2,3,1,2
516,2,1,3,1,0,0,1.376,1.376,1.624
517,1,1,1,3,4,4,1.172,1.172,0.828
518,1,1,1,1,1.828,2.172,1.172,4,3.828
519,0,0,3,1,0,0,1,2,2
520,0,0,1,2,4,4,2,2,1
521,2,1,1,3,4,4,1.376,2.376,3.624
522,1,1,1,3,4,4,2.172,4,3.828
523,2,1,2,3,0.624,4,3.376,3.376,0
524,1,1,2,2,2.828,0.172,3.172,1.172,0
525,2,1,2,2,0.624,1.376,2.376,4,3.624
526,0,0,3,3,0,0,3,2,2
527,1,1,3,1,0,2.172,0,3.172,1.828
528,1,1,1,2,0.828,3.172,2.172,1.172,1.828
529,1,1,1,2,4,4,1.172,1.172,4
530,0,0,3,1,2,0,0,1,3
531,1,1,2,1,0,1.172,4,4,0.828
532,2,1,3,2,0.624,2.376,3.376,0,1.624
533,1,1,2,2,0.828,1.172,0.172,0.172,3.828
534,0,0,1,2,4,2,2,4,3
535,0,0,2,1,3,2,2,1,1
536,0,0,2,1,1,0,1,3,4
537,0,0,2,2,0,2,3,2,1
538,2,1,2,1,2.624,1.376,4,1.376,0
539,2,1,3,1,0.624,0,1.376,0,2.624
540,0,0,3,2,0,1,2,3,3
541,2,1,2,1,2.624,0,1.376,2.376,3.624
542,2,1,3,1,1.624,2.376,0,2.376,1.624
543,0,0,1,2,4,1,4,3,2
544,1,1,1,2,0.828,4,2.172,4,2.828
545,1,1,2,2,0,0.172,3.172,3.172,3.828
546,1,1,2,3,0.828,1.172,4,1.172,3.828
547,0,0,3,3,1,1,3,1,2
548,0,0,1,2,4,4,4,2,3
549,2,1,3,1,0,1.376,2.376,3.376,0
550,2,1,3,2,0.624,0.376,1.376,1.376,1.624
551,2,1,3,1,1.624,1.376,0,0,2.624
552,2,1,1,1,2.624,1.376,1.376,4,4
553,0,0,1,2,4,2,1,4,2
554,0,0,1,2,4,1,4,4,1
555,1,1,1,2,1.828,2.172,3.172,2.172,0.828
556,2,1,3,1,0,2.376,0,0.376,1.624
557,1,1,2,3,2.828,4,2.172,3.172,1.828
558,1,1,1,1,0.828,1.172,2.172,1.172,4
559,1,1,3,1,1.828,2.172,2.172,0,0
560,2,1,3,2,1.624,0.376,0,0,1.624
561,2,1,1,2,2.624,1.376,3.376,3.376,3.624
562,0,0,1,2,1,4,4,4,3
563,2,1,2,1,0,0,4,4,0
564,2,1,1,3,1.624,4,4,4,2.624
565,0,0,3,1,0,0,1,2,0
566,1,1,1,1,0,0.172,4,3.172,3.828
