"id","Z","russia","warfare","direct","indirect","economic","political","general"
56,1,2,3,4,2,3,1,0
57,0,3,3,3,4,0,2,0
58,1,1,2,4,4,4,4,3
59,0,2,3,3,1,3,3,3
60,0,2,1,3,1,1,1,2
61,0,1,2,4,4,4,3,4
62,1,1,2,3,4,4,4,4
63,0,2,3,2,1,1,1,3
64,1,3,2,0,1,4,0,1
65,1,1,3,3,4,2,4,0
66,0,1,1,4,1,3,4,3
67,0,2,1,0,3,4,3,2
68,0,1,1,2,4,2,2,4
69,0,3,3,0,3,0,0,0
70,1,3,2,1,4,0,0,2
71,0,3,1,1,2,2,2,2
72,0,2,3,4,4,4,3,1
73,0,3,2,3,1,0,0,2
74,1,2,3,1,3,4,1,3
75,1,1,1,3,4,4,2,1
76,1,2,3,3,4,3,2,2
77,1,3,3,3,3,3,0,0
78,1,2,2,0,4,1,4,2
79,1,1,1,3,4,2,4,2
80,1,2,1,0,3,2,3,0
81,1,3,2,2,2,0,2,1
82,1,3,1,0,2,1,2,2
83,1,3,1,0,0,2,4,1
84,1,3,3,0,4,2,0,2
85,1,2,1,2,4,2,4,2
86,0,3,2,2,1,0,2,2
87,0,1,3,4,2,4,4,3
88,0,1,3,3,4,1,3,1
89,0,3,2,0,1,0,0,0
90,0,2,2,1,1,1,2,0
91,1,1,2,0,3,3,4,3
92,0,3,3,3,3,0,2,2
93,1,2,3,3,2,1,2,2
94,1,2,1,0,0,4,4,0
95,0,1,1,3,1,3,1,4
96,0,3,1,0,0,0,3,0
97,0,2,2,2,1,4,0,3
98,0,2,3,4,3,3,1,4
99,1,3,1,0,2,4,4,1
100,0,2,3,4,2,2,3,3
101,1,3,1,0,0,1,3,0
102,0,3,3,1,4,0,0,0
103,1,2,3,0,4,1,3,1
104,1,2,1,2,2,1,4,1
105,1,2,3,4,4,3,4,0
106,1,1,1,2,4,4,4,1
107,0,2,3,1,4,0,1,4
108,1,3,1,1,2,0,0,0
109,0,3,1,0,0,2,2,0
110,1,3,2,0,3,4,1,1
111,1,1,3,1,4,4,2,4
112,0,1,1,0,1,4,2,4
113,0,3,1,1,2,3,0,3
114,1,1,2,0,2,4,4,0
115,1,3,2,2,4,0,1,2
116,1,3,1,0,1,3,0,0
117,0,1,1,0,0,4,4,3
118,0,1,3,3,4,4,1,2
119,0,2,1,0,0,2,2,1
120,0,3,3,3,4,1,0,0
121,1,1,3,1,4,4,2,4
122,0,1,1,3,2,3,1,4
123,0,1,1,2,2,4,1,2
124,0,1,3,3,3,1,4,3
125,0,3,3,1,2,0,3,2
126,1,1,1,3,4,4,3,4
127,0,2,2,1,1,2,2,2
128,1,1,2,4,3,3,4,4
129,1,2,3,0,2,4,4,1
130,1,2,1,0,3,3,4,0
131,0,3,3,3,3,2,2,1
132,0,2,3,1,2,0,3,4
133,0,2,1,0,3,4,4,4
134,0,3,1,0,2,2,0,0
135,1,3,3,0,4,2,1,0
136,1,3,2,0,0,4,2,0
137,0,3,3,3,4,2,0,2
138,1,3,1,0,0,2,2,1
139,0,2,3,2,4,1,4,3
140,1,2,1,0,0,4,2,0
141,0,3,1,2,2,1,2,0
142,0,3,2,0,1,1,1,1
143,0,3,1,1,0,0,0,1
144,1,3,2,0,2,3,1,0
145,0,2,3,4,3,0,4,3
146,1,2,1,0,4,4,2,2
147,0,2,3,1,2,3,3,0
148,0,1,1,1,3,2,1,4
149,1,3,1,0,2,2,1,0
150,1,2,3,2,4,1,1,3
151,0,2,3,3,4,2,1,1
152,0,1,1,0,4,2,4,2
153,0,1,3,4,3,3,4,3
154,0,1,3,4,4,4,4,1
155,0,2,1,2,3,3,1,3
156,0,1,1,3,4,4,4,4
157,0,2,3,2,3,2,4,3
158,1,1,3,4,4,3,3,2
159,0,2,2,4,2,1,3,0
160,0,1,3,4,4,4,1,1
161,0,1,2,3,2,3,4,4
162,1,3,2,2,4,4,0,0
163,1,2,2,0,3,1,1,0
164,1,1,3,3,4,4,2,3
165,0,3,1,0,1,1,3,0
166,0,3,2,3,0,1,3,0
167,1,2,3,3,4,4,3,2
168,1,3,2,2,1,1,2,0
169,0,2,1,3,2,3,1,1
170,0,2,2,2,2,0,3,0
171,0,2,1,1,0,4,0,1
172,1,2,2,1,1,4,3,0
173,0,2,2,4,3,1,2,1
174,0,1,1,1,3,2,4,1
175,1,1,2,1,2,4,4,1
176,0,1,3,3,4,4,4,4
177,1,3,2,0,2,4,2,0
178,0,1,2,3,2,1,2,3
179,0,2,2,2,0,4,1,3
180,0,1,2,4,1,4,4,4
181,0,1,1,2,4,4,4,3
182,0,3,2,0,1,2,1,0
183,0,3,3,2,0,1,3,3
184,1,2,3,1,4,2,1,3
185,0,3,3,2,2,0,3,1
186,0,2,1,1,3,2,3,2
187,0,2,2,0,3,3,4,1
188,1,3,2,0,0,0,3,0
189,0,1,2,4,4,2,3,4
190,1,1,2,1,4,4,2,2
191,1,1,3,2,4,4,4,1
192,0,2,2,3,2,2,4,0
193,0,2,3,4,1,3,0,2
194,0,2,1,0,0,2,3,3
195,0,2,2,4,2,2,0,0
196,1,2,2,0,1,1,4,0
197,1,3,1,1,3,0,2,0
198,1,2,2,0,4,1,4,3
199,0,2,2,0,3,3,0,4
200,0,3,2,0,0,3,0,1
201,0,2,3,3,3,0,3,2
202,1,1,1,3,2,4,2,1
203,0,1,1,3,2,4,3,4
204,0,1,2,2,4,1,1,1
205,1,3,1,0,3,3,1,0
206,1,1,2,0,3,3,3,0
207,1,3,1,1,2,2,3,0
208,0,2,1,3,3,4,4,4
209,1,1,2,4,4,4,3,2
210,0,2,1,0,3,4,3,1
211,0,3,3,1,3,2,0,0
212,1,3,2,1,1,3,2,0
213,1,2,3,2,4,4,1,0
214,0,2,2,3,2,2,4,3
215,1,1,1,0,4,2,4,3
216,0,2,2,3,4,2,2,2
217,0,1,1,3,0,4,2,1
218,0,3,1,0,0,0,1,0
219,0,1,3,3,3,1,3,4
220,1,3,2,0,4,1,4,0
221,1,2,2,2,4,2,4,2
222,1,3,2,1,3,3,0,0
223,0,1,3,4,3,3,3,3
224,1,3,1,0,0,0,0,2
225,0,2,1,2,0,3,2,1
226,0,3,2,1,2,0,1,2
227,0,1,1,0,0,3,2,4
228,1,1,3,1,3,4,3,4
229,1,3,2,0,4,2,4,0
230,0,2,1,0,0,1,2,0
231,1,1,1,0,2,4,4,4
232,1,1,2,3,4,4,4,1
233,1,1,2,1,3,2,4,0
234,0,2,1,2,2,4,4,0
235,1,3,1,0,3,1,0,0
236,0,1,3,4,4,4,4,4
237,1,2,3,2,3,4,3,0
238,0,3,2,3,3,0,0,3
239,0,1,1,4,4,3,4,3
240,0,1,2,4,1,1,2,2
241,1,2,2,3,4,1,2,2
242,1,3,1,0,0,3,3,2
243,0,3,2,3,2,3,1,1
244,0,2,1,3,0,2,1,1
245,0,1,3,4,3,3,2,1
246,0,3,1,0,0,0,3,0
247,0,1,2,1,4,3,4,4
248,0,3,3,1,2,2,2,0
249,1,3,2,0,4,3,3,1
250,0,2,3,2,3,0,0,0
251,1,2,3,2,4,1,4,0
252,1,3,2,0,4,2,3,0
253,1,2,2,0,1,4,4,1
254,1,1,2,2,2,4,4,1
255,0,1,3,2,4,3,4,1
256,0,3,2,1,2,3,2,0
257,1,2,2,0,4,2,2,0
258,0,3,2,0,0,2,3,1
259,0,2,1,0,3,2,3,2
260,1,2,1,0,0,4,1,2
261,0,2,2,0,3,2,2,4
262,1,3,2,0,0,0,2,2
263,1,2,1,1,2,1,4,0
264,1,3,3,0,2,1,2,0
265,1,3,3,1,4,4,0,0
266,1,3,2,0,1,4,0,0
267,1,1,1,2,4,2,4,1
268,1,2,2,0,1,2,1,1
269,1,1,2,0,4,4,4,3
270,0,3,3,2,0,0,2,1
271,1,2,3,0,4,4,4,0
272,1,3,2,0,1,1,0,0
273,1,3,2,1,0,2,4,2
274,1,3,3,0,4,0,0,1
275,1,1,3,2,4,4,4,0
276,0,3,1,0,1,0,2,1
277,1,1,2,4,4,4,4,3
278,0,3,3,3,4,0,3,0
279,0,1,2,1,3,3,2,1
280,0,3,2,0,0,0,1,0
281,1,3,1,0,0,3,3,0
282,1,1,3,4,3,4,4,3
283,1,1,3,2,4,4,2,4
284,0,3,3,2,1,0,3,0
285,0,1,3,2,4,2,3,2
286,0,3,2,3,0,0,3,0
287,0,3,3,2,1,0,2,2
288,1,2,3,1,4,2,4,0
289,0,3,2,2,0,1,1,0
290,0,1,2,4,2,3,4,3
291,0,1,3,3,4,4,2,1
292,1,3,3,0,1,0,4,0
293,0,2,3,1,2,3,2,4
294,0,1,3,4,3,4,4,2
295,1,3,2,2,1,0,4,0
296,0,1,2,2,4,4,2,3
297,0,3,1,2,2,1,3,3
298,0,3,3,1,1,0,2,2
299,0,2,1,0,2,3,3,2
300,1,2,2,0,1,4,1,0
301,0,1,3,4,4,2,2,4
302,1,3,3,3,4,3,3,0
303,0,1,1,1,3,4,4,4
304,1,1,1,0,4,4,3,1
305,1,2,1,0,1,4,4,0
306,1,1,3,4,4,4,4,1
307,1,2,3,0,4,4,2,2
308,0,3,3,0,0,3,0,2
309,1,3,2,2,4,1,0,2
310,1,1,2,2,4,3,4,4
311,0,2,2,0,2,2,0,3
312,1,2,2,0,3,3,1,1
313,0,1,1,4,0,1,4,2
314,1,3,2,2,4,4,0,1
315,0,1,3,4,4,1,4,2
316,0,1,3,3,3,4,2,4
317,0,1,2,4,3,3,4,2
318,0,1,1,3,4,3,2,4
319,0,1,1,2,2,4,4,4
320,0,2,3,3,1,2,3,0
321,0,3,1,1,2,2,3,0
322,1,2,2,0,3,1,4,1
323,0,1,1,0,0,2,1,3
324,1,2,3,3,4,3,1,0
325,1,1,1,0,4,2,4,0
326,1,1,1,0,1,3,4,2
327,1,1,3,1,4,4,2,4
328,1,3,3,1,1,2,4,0
329,1,3,1,0,0,1,2,2
330,0,1,3,4,4,3,4,3
331,1,3,3,0,4,2,3,0
332,0,2,2,1,4,2,1,3
333,1,1,2,2,4,4,3,2
334,0,1,2,3,1,2,1,1
335,0,3,2,0,0,1,1,0
336,1,1,2,4,3,2,4,1
337,0,2,1,0,1,1,3,0
338,0,1,3,4,4,4,2,4
339,1,2,2,0,4,4,2,1
340,0,2,3,2,1,4,2,0
341,0,2,1,0,1,0,2,0
342,1,1,3,1,4,4,3,1
343,1,3,1,0,3,2,0,2
344,0,1,2,3,4,1,2,3
345,0,1,3,4,4,1,4,4
346,0,1,2,4,2,4,4,1
347,1,3,1,0,0,2,3,0
348,1,2,1,0,2,1,4,2
349,0,1,3,4,4,2,2,2
350,1,3,2,0,0,0,3,2
351,0,2,3,2,4,0,4,2
352,0,2,2,1,1,3,1,2
353,0,3,2,1,0,3,2,3
354,0,2,3,1,4,2,1,2
355,0,2,1,2,1,4,2,2
356,0,2,1,2,2,1,3,1
357,1,1,3,3,4,2,4,2
358,0,2,2,2,0,2,4,3
359,0,2,1,0,3,0,2,4
360,1,2,3,3,2,4,1,3
361,0,1,2,1,1,4,4,3
362,1,1,2,1,4,4,4,0
363,0,3,3,2,4,3,2,2
364,1,3,2,0,4,0,2,0
365,0,1,2,1,3,3,3,3
366,1,3,2,0,1,2,4,1
367,1,1,3,1,4,4,4,2
368,0,2,3,4,4,1,4,3
369,1,2,1,0,3,1,4,2
370,1,1,2,4,2,2,4,4
371,1,1,2,4,4,2,3,2
372,0,2,3,2,4,4,1,0
373,1,3,1,0,1,2,0,1
374,1,3,2,1,1,1,1,2
375,1,3,2,0,0,3,3,0
376,1,3,1,0,1,3,1,0
377,0,2,2,0,1,4,1,1
378,1,3,1,0,0,0,3,1
379,0,1,3,4,4,2,3,4
380,1,1,2,3,4,2,3,1
381,0,1,3,4,2,1,4,3
382,1,1,1,0,4,4,2,4
383,0,2,3,4,3,4,3,1
384,1,2,1,1,1,3,4,0
385,0,3,2,0,3,3,3,0
386,1,3,1,0,0,2,4,1
387,0,3,3,2,3,0,1,0
388,1,3,3,0,2,4,4,0
389,1,3,2,2,4,2,0,0
390,1,3,3,2,3,1,2,0
391,0,2,1,0,0,3,4,0
392,0,3,1,1,0,2,1,0
393,1,2,1,0,3,4,1,0
394,0,2,1,0,3,0,2,2
395,1,1,3,3,4,4,3,2
396,0,3,1,0,0,0,2,3
397,0,2,1,3,0,3,1,4
398,0,2,1,0,2,4,2,0
399,1,3,1,0,0,3,4,0
400,0,1,3,4,4,2,4,1
401,0,1,1,3,0,4,4,1
402,1,1,2,4,4,4,3,0
403,0,1,1,4,2,4,4,4
404,0,1,2,2,2,3,4,2
405,1,3,3,0,4,2,4,0
406,0,3,1,1,0,3,0,0
407,0,3,1,0,1,0,0,3
408,0,1,3,2,4,2,3,4
409,1,1,2,3,4,2,4,4
410,1,3,2,0,3,1,3,1
411,1,3,2,0,4,0,4,0
412,0,3,3,4,3,3,1,0
413,1,1,3,4,4,4,4,2
414,0,3,2,1,1,0,3,0
415,0,2,3,4,1,2,2,0
416,1,2,2,2,3,4,1,3
417,1,1,1,2,2,3,4,0
418,1,1,1,0,3,3,4,0
419,0,3,2,2,2,3,3,1
420,1,2,2,0,1,1,1,0
421,1,3,3,0,4,1,1,0
422,1,3,3,3,3,1,3,0
423,0,3,2,3,0,0,1,0
424,1,1,3,4,3,3,4,2
425,1,3,1,0,3,4,3,1
426,0,2,1,1,2,2,4,3
427,1,3,2,0,0,4,1,0
428,1,3,1,0,2,0,0,1
429,1,2,1,0,3,2,4,3
430,1,3,1,0,2,3,4,1
431,0,2,1,2,0,1,2,3
432,0,3,3,4,2,0,0,3
433,0,2,3,3,1,1,2,3
434,1,2,1,2,1,2,2,3
435,0,1,1,2,2,1,2,1
436,1,3,1,0,2,3,3,2
437,0,2,1,0,0,2,3,3
438,1,3,3,0,4,1,4,1
439,0,3,2,1,0,3,0,0
440,1,1,1,0,3,4,4,0
441,1,2,2,1,4,1,2,0
442,1,1,3,3,4,3,2,0
443,0,3,3,0,2,0,1,0
444,1,2,1,0,1,3,4,0
445,1,1,1,3,3,2,4,0
446,1,3,3,0,4,2,0,2
447,1,2,2,0,2,1,1,0
448,0,3,1,1,0,1,1,0
449,0,2,1,1,1,4,4,2
450,1,2,1,0,4,4,1,0
451,0,2,3,1,1,0,0,4
452,0,3,2,2,3,1,3,0
453,1,2,2,3,4,4,3,0
454,0,3,2,3,3,3,1,3
455,1,2,1,2,0,3,2,0
456,1,3,2,2,4,4,0,0
457,0,3,3,1,0,3,0,2
458,1,3,1,0,1,1,4,2
459,0,2,1,1,1,3,4,4
460,0,3,3,4,4,1,1,2
461,0,1,1,3,3,3,4,4
462,1,3,2,0,1,3,0,2
463,0,2,2,0,1,0,2,3
464,0,2,3,3,4,4,1,2
465,1,1,2,4,3,4,3,1
466,1,2,3,0,3,2,4,0
467,1,1,3,2,4,4,2,1
468,1,1,3,4,4,2,3,2
469,0,2,3,1,2,1,2,1
470,1,3,3,2,4,0,2,0
471,1,1,3,1,4,4,4,3
472,0,2,1,0,0,0,1,2
473,0,1,2,4,3,1,1,4
474,0,1,1,0,0,2,1,2
475,1,3,1,0,1,1,1,2
476,0,3,2,0,2,3,3,0
477,1,2,3,0,4,4,1,3
478,0,3,2,0,3,2,2,0
479,1,3,1,0,1,1,2,0
480,1,2,3,2,4,4,4,0
481,1,1,1,1,3,3,3,4
482,1,3,2,2,1,4,4,2
483,0,2,1,0,2,4,3,1
484,1,1,3,4,4,2,4,4
485,1,3,1,1,2,1,3,2
486,0,3,2,3,1,2,0,1
487,0,3,3,0,2,0,1,3
488,1,1,1,3,3,4,2,0
489,1,2,2,0,4,3,2,2
490,1,3,1,0,3,4,1,1
491,0,2,3,1,4,0,0,2
492,1,1,3,4,3,4,2,2
493,1,2,1,0,2,3,4,3
494,0,1,3,4,4,1,3,3
495,0,2,2,0,4,4,3,2
496,1,2,1,0,3,4,2,3
497,0,2,3,1,3,2,2,0
498,1,2,2,1,2,2,4,0
499,1,1,1,2,2,2,4,4
500,0,1,1,1,1,3,1,1
501,1,2,3,2,4,2,3,2
502,0,1,1,2,4,4,1,1
503,1,1,2,2,4,4,4,3
504,1,2,3,4,3,1,4,0
505,0,3,1,2,1,0,3,1
506,0,3,1,2,0,0,0,0
507,0,2,3,4,2,4,1,0
508,0,1,3,4,3,4,4,4
509,0,2,2,1,3,2,1,1
510,1,1,3,4,4,4,2,3
511,0,1,2,3,3,2,1,4
512,0,3,2,0,0,3,0,0
513,1,3,3,2,4,0,1,0
514,1,3,2,1,3,3,1,0
515,1,2,1,2,2,3,4,1
516,0,2,1,0,2,0,0,0
517,0,1,3,3,4,4,1,4
518,0,3,1,1,0,1,0,1
519,1,1,2,0,3,3,2,2
520,0,2,3,1,1,0,4,4
521,1,3,3,3,3,2,3,1
522,0,1,1,4,3,3,2,4
523,0,2,2,3,1,0,4,4
524,1,3,3,0,4,4,3,0
525,0,2,2,2,1,1,4,0
526,1,1,2,0,2,2,2,2
527,0,2,3,4,4,2,3,2
528,0,3,2,2,0,2,2,0
529,0,1,3,4,3,4,4,3
530,1,3,1,0,1,2,0,1
531,0,2,3,4,4,3,4,3
532,0,2,2,3,1,0,1,4
533,1,1,3,4,4,4,4,3
534,1,3,1,0,0,1,4,0
535,0,2,2,0,4,2,3,1
536,1,2,2,3,3,4,4,0
537,0,1,1,0,4,4,3,2
538,1,1,2,0,4,4,4,0
539,0,3,1,0,0,0,0,0
540,1,3,3,1,4,3,4,0
541,0,1,1,2,3,1,1,1
542,1,1,1,0,2,3,4,2
543,0,1,2,3,4,2,4,4
544,0,1,2,4,1,2,1,1
545,1,3,1,0,3,0,3,0
546,0,2,2,2,0,1,4,2
547,1,2,1,0,1,2,1,2
548,0,1,3,4,4,4,2,2
549,0,2,1,0,0,2,3,3
550,1,2,3,3,2,4,3,0
551,1,3,2,0,2,1,0,0
552,1,1,2,3,4,4,4,3
553,1,2,2,1,3,1,4,0
554,0,3,2,0,1,1,2,3
555,1,2,2,0,4,4,4,0
556,1,1,3,2,4,3,4,2
557,0,2,3,1,1,3,3,3
558,1,2,3,1,3,1,4,0
559,1,3,2,0,1,3,4,1
560,1,3,1,0,0,1,2,2
561,0,1,2,2,3,4,2,1
562,0,1,3,4,4,4,2,4
563,0,1,1,0,2,3,3,3
564,0,1,2,2,1,2,1,2
565,0,2,3,1,1,0,2,4
566,0,3,3,1,4,2,0,1
567,1,3,1,0,0,1,3,0
568,0,2,3,2,2,2,1,3
569,1,1,2,2,3,4,4,2
570,0,3,2,0,1,2,1,0
571,1,2,1,2,4,4,2,3
572,1,3,1,0,1,0,4,2
573,0,1,2,4,2,3,2,3
574,0,2,3,4,1,3,3,0
575,0,1,3,4,3,4,3,2
576,1,1,1,2,2,4,4,3
577,1,2,3,3,4,4,4,2
578,0,1,1,0,0,2,1,2
579,0,2,2,3,3,2,0,4
580,0,2,3,4,3,4,0,3
581,0,1,3,3,4,4,4,1
582,0,3,3,4,2,1,3,0
583,1,1,3,3,4,4,4,1
584,0,1,2,2,1,4,1,4
585,0,3,2,2,1,3,3,0
586,0,1,3,3,4,4,2,1
587,1,3,3,1,1,1,2,0
588,1,1,1,3,1,2,3,3
589,1,1,2,0,4,4,4,4
590,0,2,3,4,4,3,3,1
591,1,1,3,4,4,4,4,2
592,1,2,2,1,4,4,3,3
593,1,1,2,2,3,3,4,0
594,1,3,2,0,2,4,2,1
595,1,2,1,0,0,4,4,0
596,0,3,1,0,0,1,2,1
597,1,1,2,0,4,4,3,3
598,1,3,1,0,2,3,2,1
599,0,3,2,2,2,0,0,1
600,1,1,1,0,4,4,2,4
601,1,2,2,0,1,1,4,1
602,1,1,2,3,3,4,4,4
603,0,2,1,3,1,0,0,0
604,1,1,1,0,4,4,4,2
605,1,3,2,1,3,1,2,0
606,0,1,2,2,4,1,4,4
607,1,3,3,2,4,3,1,0
608,0,3,3,4,1,0,3,0
609,0,1,1,1,1,4,4,3
610,1,2,3,1,3,4,4,3
611,1,3,3,3,4,3,2,0
612,1,1,2,1,2,3,3,0
613,1,1,2,4,4,4,2,4
614,1,3,1,0,0,1,0,1
615,0,3,2,0,1,0,2,3
616,1,3,1,0,0,3,3,0
617,1,2,3,3,4,4,4,2
618,0,3,1,0,0,0,0,2
619,0,1,3,4,4,4,2,3
620,1,3,1,0,0,3,3,0
621,1,1,1,2,4,4,2,2
622,1,1,3,2,4,4,4,1
623,0,1,3,4,4,3,3,2
624,1,3,1,1,0,3,2,2
625,1,2,2,1,4,3,2,3
626,0,2,2,0,0,3,3,0
627,1,2,2,1,3,4,1,2
628,0,2,1,0,0,4,1,0
629,0,1,2,3,3,2,1,4
630,0,3,3,0,0,1,0,0
631,1,2,3,0,4,4,3,0
632,1,1,2,1,4,4,4,2
633,0,2,3,1,3,4,2,3
634,1,1,3,4,4,4,4,4
635,1,3,2,1,3,2,3,0
636,0,2,2,2,4,1,0,4
637,0,2,3,3,4,4,2,2
638,0,1,1,4,2,3,4,4
639,0,3,1,2,0,2,0,1
640,0,1,3,2,4,2,1,3
641,0,3,1,0,0,1,1,0
642,1,3,3,3,4,1,3,1
643,1,3,3,1,4,2,2,2
644,0,2,2,2,4,1,0,0
645,0,1,2,4,4,4,3,1
646,1,3,1,0,0,2,0,0
647,0,2,1,1,2,0,0,4
648,1,3,3,3,4,4,4,0
649,0,3,2,1,1,2,3,0
650,0,1,1,4,0,4,4,2
651,0,2,3,4,3,3,0,3
652,0,3,3,0,4,1,1,3
653,0,1,2,3,4,4,4,4
654,0,3,2,0,1,0,0,0
655,0,2,2,4,4,2,4,2
656,0,3,1,0,0,2,1,2
657,0,1,2,4,4,2,4,4
658,0,3,3,1,3,0,3,2
659,0,3,3,3,3,1,0,3
660,0,1,3,3,2,1,1,3
661,0,3,1,0,0,3,0,1
662,1,1,3,2,4,4,4,1
663,1,3,3,1,1,1,0,0
664,1,2,2,3,3,3,2,2
665,0,3,1,2,1,3,0,3
666,0,1,3,4,2,3,4,3
667,1,2,3,3,3,2,2,2
668,1,1,1,3,1,4,4,3
669,0,2,3,2,1,1,0,2
670,1,3,1,0,2,3,0,1
671,0,3,2,0,2,0,0,0
672,1,2,3,4,4,1,4,2
673,0,1,1,4,3,4,3,4
674,1,2,2,0,2,2,4,0
675,1,2,3,0,4,4,1,0
676,0,2,1,0,2,2,1,4
677,0,3,2,1,0,3,3,3
678,1,3,3,0,4,1,4,0
679,0,2,1,2,3,2,0,3
680,1,3,3,1,1,0,0,0
681,0,1,1,4,0,4,4,1
682,0,3,3,2,2,0,0,3
683,0,1,2,3,2,4,4,1
684,0,2,3,4,3,0,0,1
685,0,2,3,4,2,4,0,3
686,1,2,1,0,4,4,3,2
687,1,1,3,1,3,3,4,3
688,0,3,3,3,4,0,0,0
689,1,2,3,0,4,4,3,1
690,1,3,3,0,2,1,2,0
691,0,3,2,0,2,0,1,0
692,1,1,2,4,4,4,4,0
693,0,3,3,4,4,0,0,3
694,1,3,2,0,1,4,4,1
695,0,2,2,3,0,2,3,4
696,1,2,1,0,3,3,3,3
697,1,1,1,1,3,2,3,0
698,1,3,3,1,4,4,0,0
699,0,3,2,0,2,2,3,0
700,1,3,1,0,3,2,4,2
701,0,1,1,2,0,3,3,1
702,1,1,2,0,4,2,4,4
703,1,2,3,3,2,3,4,0
704,0,2,2,0,1,4,4,1
705,0,1,3,4,4,2,1,4
706,1,3,3,0,4,2,3,0
707,0,1,2,3,4,1,2,4
708,0,2,1,2,2,0,0,1
709,1,2,2,0,4,4,1,0
710,1,3,3,2,1,1,0,2
711,0,3,3,2,3,2,0,0
712,1,2,2,1,4,3,1,2
713,0,2,1,1,3,0,1,1
714,0,2,3,3,2,2,3,2
715,1,3,1,0,0,4,1,1
716,0,3,2,1,0,0,0,0
717,0,2,1,1,3,3,3,0
718,0,3,1,2,1,0,2,1
719,0,2,3,4,3,1,0,1
720,0,1,1,1,3,4,4,2
721,1,3,2,0,1,3,2,0
722,1,2,2,3,3,2,3,0
723,0,3,1,1,0,0,0,3
724,1,1,2,4,4,2,4,2
725,1,3,3,3,4,2,3,0
726,1,3,3,1,1,3,4,2
727,1,2,1,2,4,1,3,0
728,0,2,1,3,3,1,4,2
729,1,3,3,1,1,0,0,1
730,1,2,1,0,1,1,1,1
731,1,1,2,0,2,3,4,4
732,1,2,3,2,4,4,1,3
733,0,1,3,4,3,2,3,2
734,1,3,3,1,4,2,1,1
735,1,1,3,3,4,4,3,0
736,1,1,2,3,2,2,2,2
737,1,1,2,0,3,2,4,4
738,0,2,1,0,1,3,2,4
739,0,2,3,3,4,3,1,4
740,1,3,2,0,2,3,3,1
741,0,1,3,2,4,3,3,2
742,0,3,3,0,4,0,2,2
743,1,2,1,0,3,3,1,0
744,0,1,1,0,3,4,1,4
745,1,3,1,0,0,1,4,0
746,1,1,2,1,3,4,3,4
747,0,2,3,4,4,3,4,4
748,1,2,1,1,2,4,1,1
749,1,1,3,4,4,4,2,0
750,1,2,1,0,2,2,1,3
751,1,1,2,0,3,4,3,0
752,1,1,3,3,4,4,4,2
753,0,3,2,0,1,0,0,1
754,0,1,2,2,4,3,4,1
755,1,1,1,0,3,4,4,0
756,0,3,3,0,2,1,0,0
757,0,2,1,0,0,2,2,2
758,1,2,2,0,1,3,4,0
759,1,2,2,0,2,2,4,1
760,1,2,2,0,2,2,3,0
761,1,1,3,2,4,3,4,1
762,0,1,1,0,2,4,3,4
763,1,3,1,0,0,4,0,0
764,0,2,3,4,4,3,0,4
765,1,2,2,0,3,2,1,2
766,0,1,1,0,4,4,4,4
767,1,3,1,1,0,2,1,0
768,1,1,3,1,4,4,4,2
769,0,3,3,2,3,0,3,0
770,0,1,3,4,2,1,3,3
771,0,1,3,2,3,3,3,4
772,0,2,3,1,2,2,1,1
773,1,1,1,0,1,3,2,2
774,1,2,2,0,3,4,4,2
